,Detector Type,Detector Time,#KP,Descriptor Type,Descriptor Time,Matcher Type,Selector Type,Matching Time,#Matched KP
0,FAST,4.26498,404,ORB,10.290999999999999,MAT_FLANN,SEL_NN,28.2855,426
1,FAST,3.06196,423,ORB,6.84037,MAT_FLANN,SEL_NN,32.7619,402
2,FAST,4.07526,386,ORB,6.0154,MAT_FLANN,SEL_NN,36.0465,422
3,FAST,3.10617,414,ORB,30.198,MAT_FLANN,SEL_NN,37.092,386
4,FAST,4.6227,418,ORB,7.7881800000000005,MAT_FLANN,SEL_NN,28.3201,414
5,FAST,3.3824,406,ORB,12.4039,MAT_FLANN,SEL_NN,38.5209,416
6,FAST,5.63244,396,ORB,20.4262,MAT_FLANN,SEL_NN,33.0197,404
7,FAST,5.06575,401,ORB,9.51201,MAT_FLANN,SEL_NN,31.151,395
0,HARRIS,34.6154,18,BRIEF,1.9584400000000002,MAT_BF,SEL_KNN,0.22167800000000001,11
1,HARRIS,36.4058,21,BRIEF,2.1994700000000003,MAT_BF,SEL_KNN,0.184835,15
2,HARRIS,34.4638,26,BRIEF,1.85349,MAT_BF,SEL_KNN,0.236215,20
3,HARRIS,85.9444,43,BRIEF,2.24352,MAT_BF,SEL_KNN,0.24495300000000003,24
4,HARRIS,54.0861,18,BRIEF,1.82325,MAT_BF,SEL_KNN,0.245875,26
5,HARRIS,74.8212,31,BRIEF,2.28967,MAT_BF,SEL_KNN,0.269045,16
6,HARRIS,53.4817,26,BRIEF,1.8759400000000002,MAT_BF,SEL_KNN,0.197225,24
7,HARRIS,46.2574,34,BRIEF,1.97413,MAT_BF,SEL_KNN,0.229733,23
0,FAST,2.46585,404,FREAK,45.8659,MAT_FLANN,SEL_KNN,27.5397,250
1,FAST,2.5066599999999997,423,FREAK,44.1816,MAT_FLANN,SEL_KNN,29.4629,238
2,FAST,7.230919999999999,386,FREAK,52.7252,MAT_FLANN,SEL_KNN,23.9551,258
3,FAST,3.7906699999999995,414,FREAK,45.7965,MAT_FLANN,SEL_KNN,21.0194,234
4,FAST,2.7717,418,FREAK,42.0732,MAT_FLANN,SEL_KNN,22.4029,270
5,FAST,4.057980000000001,406,FREAK,35.6012,MAT_FLANN,SEL_KNN,30.0324,255
6,FAST,5.01708,396,FREAK,41.6405,MAT_FLANN,SEL_KNN,26.813000000000002,253
7,FAST,2.38889,401,FREAK,43.4035,MAT_FLANN,SEL_KNN,25.4674,250
0,SHITOMASI,39.0398,123,ORB,11.1127,MAT_BF,SEL_NN,0.58196,118
1,SHITOMASI,72.1627,120,ORB,11.4734,MAT_BF,SEL_NN,0.760317,123
2,SHITOMASI,32.9773,120,ORB,21.6246,MAT_BF,SEL_NN,0.731268,120
3,SHITOMASI,54.5011,113,ORB,9.28434,MAT_BF,SEL_NN,0.594608,120
4,SHITOMASI,51.169,114,ORB,9.35782,MAT_BF,SEL_NN,0.623995,113
5,SHITOMASI,29.3532,123,ORB,10.6759,MAT_BF,SEL_NN,0.557235,114
6,SHITOMASI,26.3459,111,ORB,12.5655,MAT_BF,SEL_NN,2.55523,123
7,SHITOMASI,42.648999999999994,112,ORB,14.2011,MAT_BF,SEL_NN,1.05396,111
0,FAST,4.00676,404,FREAK,31.3199,MAT_FLANN,SEL_NN,17.7681,424
1,FAST,2.19745,423,FREAK,31.2801,MAT_FLANN,SEL_NN,17.619,404
2,FAST,2.23726,386,FREAK,38.3438,MAT_FLANN,SEL_NN,12.9693,423
3,FAST,3.4179199999999996,414,FREAK,37.3651,MAT_FLANN,SEL_NN,18.7312,386
4,FAST,3.27273,418,FREAK,39.7982,MAT_FLANN,SEL_NN,31.2143,414
5,FAST,2.7932900000000003,406,FREAK,36.7693,MAT_FLANN,SEL_NN,22.8445,418
6,FAST,2.06125,396,FREAK,38.8746,MAT_FLANN,SEL_NN,26.2971,406
7,FAST,5.45777,401,FREAK,39.0721,MAT_FLANN,SEL_NN,23.5019,396
0,SHITOMASI,41.5069,123,FREAK,82.9397,MAT_BF,SEL_KNN,1.23279,90
1,SHITOMASI,39.4097,120,FREAK,73.7869,MAT_BF,SEL_KNN,0.6707529999999999,86
2,SHITOMASI,47.9501,120,FREAK,79.4935,MAT_BF,SEL_KNN,0.548743,88
3,SHITOMASI,55.9954,113,FREAK,85.0915,MAT_BF,SEL_KNN,0.605035,86
4,SHITOMASI,45.3271,114,FREAK,71.4861,MAT_BF,SEL_KNN,0.552285,80
5,SHITOMASI,43.9378,123,FREAK,73.3001,MAT_BF,SEL_KNN,0.581387,81
6,SHITOMASI,40.2403,111,FREAK,81.9964,MAT_BF,SEL_KNN,0.8043,86
7,SHITOMASI,33.5374,112,FREAK,73.4757,MAT_BF,SEL_KNN,0.546848,85
0,BRISK,234.287,276,FREAK,39.6165,MAT_BF,SEL_NN,0.9662350000000001,252
1,BRISK,240.245,275,FREAK,51.1433,MAT_BF,SEL_NN,1.30971,257
2,BRISK,289.488,293,FREAK,47.6345,MAT_BF,SEL_NN,1.06511,262
3,BRISK,259.631,275,FREAK,31.4419,MAT_BF,SEL_NN,0.831303,270
4,BRISK,216.833,289,FREAK,33.1608,MAT_BF,SEL_NN,0.95378,252
5,BRISK,240.951,268,FREAK,31.445999999999998,MAT_BF,SEL_NN,1.21584,269
6,BRISK,206.227,259,FREAK,30.372,MAT_BF,SEL_NN,1.2199200000000001,251
7,BRISK,205.733,250,FREAK,27.774,MAT_BF,SEL_NN,1.24594,236
